"","sex","tissue","comparison","direction","gene","lfc","padj","logpadj"
"5480","female","pituitary","lo vs. hi PRL   ","lo","WDFY2",-0.15710743686213,0.0765548628334555,1.11602721731504
"5481","female","pituitary","lo vs. hi PRL   ","lo","WDR24",-0.157155657477533,0.0789275346961376,1.10277146218367
"5482","female","pituitary","lo vs. hi PRL   ","lo","PTGFRN",-0.157252699517274,0.0871588092234641,1.05968871178066
"5483","female","pituitary","lo vs. hi PRL   ","lo","RAB3IL1",-0.157425845078622,0.0295292432619535,1.52974768244125
"5484","female","pituitary","lo vs. hi PRL   ","lo","LPHN3",-0.157448147814963,0.0649184470842711,1.18763187749026
"5485","female","pituitary","lo vs. hi PRL   ","lo","CLK3",-0.157564715566637,0.00390988261913065,2.40783628061668
"5486","female","pituitary","lo vs. hi PRL   ","lo","INSR",-0.157675343521263,0.0528203396666835,1.27719881034432
"5487","female","pituitary","lo vs. hi PRL   ","lo","RAB11FIP1",-0.157710394480602,0.0657871602799934,1.18185885963331
"5488","female","pituitary","lo vs. hi PRL   ","lo","BCL9",-0.158293598159939,0.0687249960940631,1.16288527616732
"5489","female","pituitary","lo vs. hi PRL   ","lo","AFF1",-0.158371072015998,0.0777124328551569,1.10950949486133
"5490","female","pituitary","lo vs. hi PRL   ","lo","LRRC38",-0.158533469500428,0.0708129551796185,1.14988728117578
"5491","female","pituitary","lo vs. hi PRL   ","lo","KLHL12",-0.158798337930576,0.0364865993552062,1.43786661211059
"5492","female","pituitary","lo vs. hi PRL   ","lo","DDB1",-0.158961978294997,0.0508281248796593,1.29389591173027
"5493","female","pituitary","lo vs. hi PRL   ","lo","MIER1",-0.159043805275026,0.010619006017299,1.97391613310437
"5494","female","pituitary","lo vs. hi PRL   ","lo","TWF2",-0.159353863691984,0.0319849410956494,1.49505444475439
"5495","female","pituitary","lo vs. hi PRL   ","lo","STK40",-0.159410066093655,0.00484523524054037,2.3146851327126
"5496","female","pituitary","lo vs. hi PRL   ","lo","MAU2",-0.159428753457516,0.00641886440908991,2.19254179817551
"5497","female","pituitary","lo vs. hi PRL   ","lo","KLHL28",-0.15988734990242,0.0401660712942371,1.39614064520821
"5498","female","pituitary","lo vs. hi PRL   ","lo","TMED8",-0.159938225814326,0.0452550491327689,1.34433295926168
"5499","female","pituitary","lo vs. hi PRL   ","lo","ACAA1",-0.15997757332245,0.0765548628334555,1.11602721731504
"5500","female","pituitary","lo vs. hi PRL   ","lo","PRCP",-0.160460399450334,0.0190609535105577,1.71985537788364
"5501","female","pituitary","lo vs. hi PRL   ","lo","RNF169",-0.160606194572905,0.0454655492165536,1.34231755833722
"5502","female","pituitary","lo vs. hi PRL   ","lo","PEMT",-0.160943022743224,0.0180118748389204,1.74444107952806
"5503","female","pituitary","lo vs. hi PRL   ","lo","ASB13",-0.160974195632962,0.0245904483515959,1.60923355280464
"5504","female","pituitary","lo vs. hi PRL   ","lo","SSBP3",-0.160985152745628,0.0105528435139699,1.9766305018797
"5505","female","pituitary","lo vs. hi PRL   ","lo","PIKFYVE",-0.161286633997429,0.0613072095607675,1.21248845063088
"5506","female","pituitary","lo vs. hi PRL   ","lo","ITPRIPL2",-0.161433425879304,0.0153225943657422,1.81466769532127
"5507","female","pituitary","lo vs. hi PRL   ","lo","ZC3H7B",-0.161797649496568,0.0018374888737621,2.73577528194627
"5508","female","pituitary","lo vs. hi PRL   ","lo","DAGLB",-0.161897638842545,0.0719807319036952,1.14278374173256
"5509","female","pituitary","lo vs. hi PRL   ","lo","EVL",-0.162190373419703,0.0541942137216325,1.26604708030504
"5510","female","pituitary","lo vs. hi PRL   ","lo","SPSB1",-0.162331199795008,0.0316098332288361,1.50017779546024
"5511","female","pituitary","lo vs. hi PRL   ","lo","LOC100858279",-0.162484509021558,0.0108460863803307,1.9647269410815
"5512","female","pituitary","lo vs. hi PRL   ","lo","SSRP1",-0.162639225990551,0.0183234450093459,1.73699287084863
"5513","female","pituitary","lo vs. hi PRL   ","lo","KDM5A",-0.162669870442503,0.0518754286066928,1.28503830202438
"5514","female","pituitary","lo vs. hi PRL   ","lo","SLC4A4",-0.162848211731221,0.065065863322133,1.18664680343179
"5515","female","pituitary","lo vs. hi PRL   ","lo","CLIP2",-0.163032416120974,0.0345337559789229,1.46175618411187
"5516","female","pituitary","lo vs. hi PRL   ","lo","NAB1",-0.163064132654648,0.0860831473653204,1.06508186274643
"5517","female","pituitary","lo vs. hi PRL   ","lo","DNAJA3",-0.163218631545571,0.0040746728083411,2.389907258884
"5518","female","pituitary","lo vs. hi PRL   ","lo","PIP5K1A",-0.163260033659845,0.0444344458054704,1.35228023206209
"5519","female","pituitary","lo vs. hi PRL   ","lo","PLXNB2",-0.163328291759412,0.0390560043153286,1.40831218994135
"5520","female","pituitary","lo vs. hi PRL   ","lo","RP11-343C2.11",-0.163701332772191,0.0659895104102234,1.18052509374618
"5521","female","pituitary","lo vs. hi PRL   ","lo","NUP88",-0.163911401837301,0.0254214959970244,1.59479889579084
"5522","female","pituitary","lo vs. hi PRL   ","lo","SCD5",-0.163936041718353,0.0253671137064355,1.59572894439347
"5523","female","pituitary","lo vs. hi PRL   ","lo","POLG",-0.164087439809008,0.0547681730818703,1.26147174571894
"5524","female","pituitary","lo vs. hi PRL   ","lo","CBX7",-0.164261475778439,0.0528203396666835,1.27719881034432
"5525","female","pituitary","lo vs. hi PRL   ","lo","B3GALT6",-0.164291046109985,0.0402986050536934,1.39470998681097
"5526","female","pituitary","lo vs. hi PRL   ","lo","CCNI",-0.164374030859354,0.0601789818496992,1.22055516423299
"5527","female","pituitary","lo vs. hi PRL   ","lo","PLXNC1",-0.164556830184527,0.0818825982173594,1.08680838518932
"5528","female","pituitary","lo vs. hi PRL   ","lo","LOC100857269",-0.165186897101398,0.0152637781957155,1.81633795350717
"5529","female","pituitary","lo vs. hi PRL   ","lo","IFNGR2",-0.165264312199924,0.0966332605719661,1.01487336637266
"5530","female","pituitary","lo vs. hi PRL   ","lo","HNRNPA1",-0.165396206226845,0.0371282772443464,1.43029520161229
"5531","female","pituitary","lo vs. hi PRL   ","lo","PRPF8",-0.165925044237786,0.0805319335216184,1.0940318736421
"5532","female","pituitary","lo vs. hi PRL   ","lo","IP6K1",-0.166201401744029,0.0131142490128649,1.88225657422399
"5533","female","pituitary","lo vs. hi PRL   ","lo","PRPF4",-0.166232331198794,0.0181461464603008,1.74121558818795
"5534","female","pituitary","lo vs. hi PRL   ","lo","DET1",-0.166387687303976,0.0339688348851747,1.46891934896798
"5535","female","pituitary","lo vs. hi PRL   ","lo","PEF1",-0.166940787070849,0.0932989380291135,1.0301232995624
"5536","female","pituitary","lo vs. hi PRL   ","lo","CBL",-0.167417094534117,0.0173619871442097,1.76040056969086
"5537","female","pituitary","lo vs. hi PRL   ","lo","RRAGB",-0.167584931206422,0.00119395014974643,2.92301380565389
"5538","female","pituitary","lo vs. hi PRL   ","lo","FBXL20",-0.167618672587835,0.0218149842796583,1.66124509563889
"5539","female","pituitary","lo vs. hi PRL   ","lo","LSM12",-0.167622212924972,0.0763743212365193,1.11705263644882
"5540","female","pituitary","lo vs. hi PRL   ","lo","KIAA1671",-0.1677620786945,0.0409991984537169,1.38722463378101
"5541","female","pituitary","lo vs. hi PRL   ","lo","DHX33",-0.167885912012187,0.029390634075756,1.53179104432441
"5542","female","pituitary","lo vs. hi PRL   ","lo","LUZP1",-0.167948012330713,0.0698395927006206,1.15589830206865
"5543","female","pituitary","lo vs. hi PRL   ","lo","ZFP36L2",-0.168073279896363,0.0879492511054772,1.05576785424112
"5544","female","pituitary","lo vs. hi PRL   ","lo","SPRED2",-0.168482441515441,0.0778282430506759,1.10886277350869
"5545","female","pituitary","lo vs. hi PRL   ","lo","SERBP1",-0.168672645178801,0.00350705069685911,2.45505795604407
"5546","female","pituitary","lo vs. hi PRL   ","lo","NMT1",-0.168718897253552,0.0119352516568978,1.92316841938452
"5547","female","pituitary","lo vs. hi PRL   ","lo","TBC1D13",-0.168865946876226,0.0265443081361965,1.57602858983866
"5548","female","pituitary","lo vs. hi PRL   ","lo","LOC107051508",-0.169238204587018,0.0959137693749528,1.01811904106396
"5549","female","pituitary","lo vs. hi PRL   ","lo","LIMA1",-0.169315126433464,0.0138492092487052,1.85857502289757
"5550","female","pituitary","lo vs. hi PRL   ","lo","CZH18ORF25",-0.169396578525314,0.0390137354411567,1.40878246538123
"5551","female","pituitary","lo vs. hi PRL   ","lo","PHF12",-0.169604316398531,0.00275398988771159,2.56003765874835
"5552","female","pituitary","lo vs. hi PRL   ","lo","YTHDF2",-0.169863325227653,0.0253711984148471,1.59565901828624
"5553","female","pituitary","lo vs. hi PRL   ","lo","ERC1",-0.170015041765912,0.0634986799601743,1.19723530292804
"5554","female","pituitary","lo vs. hi PRL   ","lo","NLGN4X",-0.170099088851447,0.0314518816809526,1.50235336677806
"5555","female","pituitary","lo vs. hi PRL   ","lo","URI1",-0.170355805290528,0.0262187845316658,1.58138744549971
"5556","female","pituitary","lo vs. hi PRL   ","lo","FAM13A",-0.170361896145616,0.0253711984148471,1.59565901828624
"5557","female","pituitary","lo vs. hi PRL   ","lo","UBE2E1",-0.170404715072492,0.0390616774800198,1.40824911013488
"5558","female","pituitary","lo vs. hi PRL   ","lo","STK38",-0.171198829251031,0.0339896179101873,1.46865371745371
"5559","female","pituitary","lo vs. hi PRL   ","lo","MAD1L1",-0.171624215116508,0.0380771769476113,1.41933525780654
"5560","female","pituitary","lo vs. hi PRL   ","lo","ATXN7L3",-0.171648588107793,0.0708840229485951,1.14945164249239
"5561","female","pituitary","lo vs. hi PRL   ","lo","ADRBK2",-0.171671137654007,0.0756178073383375,1.12137591986778
"5562","female","pituitary","lo vs. hi PRL   ","lo","ALDH4A1",-0.171883294970828,0.0620581577017709,1.20720112130472
"5563","female","pituitary","lo vs. hi PRL   ","lo","PLCD1",-0.171994649010496,0.0783988512910528,1.10569030060143
"5564","female","pituitary","lo vs. hi PRL   ","lo","TPRG1L",-0.172538502750289,0.0106527008863485,1.9725402672181
"5565","female","pituitary","lo vs. hi PRL   ","lo","BAZ1B",-0.172645464050159,0.058265400818644,1.23458926160634
"5566","female","pituitary","lo vs. hi PRL   ","lo","PLEKHA8",-0.172652172497392,0.0715964147308996,1.1451087249208
"5567","female","pituitary","lo vs. hi PRL   ","lo","SEPN1",-0.172671319686922,0.0713663328166424,1.14650661903983
"5568","female","pituitary","lo vs. hi PRL   ","lo","ZNF568",-0.172712107371189,0.0095185568606262,2.02142889142392
"5569","female","pituitary","lo vs. hi PRL   ","lo","WDR34",-0.172788445877833,0.0478531923771447,1.32008908431282
"5570","female","pituitary","lo vs. hi PRL   ","lo","FAM222B",-0.172992324457776,0.00642191993610529,2.19233511320807
"5571","female","pituitary","lo vs. hi PRL   ","lo","GRIK4",-0.17310334717592,0.0703162805539629,1.15294410974332
"5572","female","pituitary","lo vs. hi PRL   ","lo","UNC45A",-0.173114498181924,0.0758470526011046,1.12006129113232
"5573","female","pituitary","lo vs. hi PRL   ","lo","NUDT3",-0.173137863014017,0.000894224261713279,3.04855355121451
"5574","female","pituitary","lo vs. hi PRL   ","lo","CBLL1",-0.173162244918247,0.00797668999640391,2.09817728590631
"5575","female","pituitary","lo vs. hi PRL   ","lo","DHX8",-0.173305244829725,0.0173537701984261,1.76060615784746
"5576","female","pituitary","lo vs. hi PRL   ","lo","DNAJC16",-0.17330717885044,0.0816665202066291,1.08795594921443
"5577","female","pituitary","lo vs. hi PRL   ","lo","XRN2",-0.173330326175228,0.00312560134242755,2.50506641525628
"5578","female","pituitary","lo vs. hi PRL   ","lo","MYO1C",-0.173394281566152,0.0550659686224264,1.25911671703826
"5579","female","pituitary","lo vs. hi PRL   ","lo","PROSER2",-0.173408092403926,0.0930206928445032,1.03142043006398
"5580","female","pituitary","lo vs. hi PRL   ","lo","NFKB2",-0.173493823543378,0.0386083654683658,1.41331858436651
"5581","female","pituitary","lo vs. hi PRL   ","lo","TAF8",-0.173513254946876,0.0118980306281221,1.92452491744103
"5582","female","pituitary","lo vs. hi PRL   ","lo","SMIM5",-0.174061168608528,0.0809407100496904,1.09183299009382
"5583","female","pituitary","lo vs. hi PRL   ","lo","SLC25A44",-0.174249555155419,0.0149172052797484,1.82631253378508
"5584","female","pituitary","lo vs. hi PRL   ","lo","ZBTB7A",-0.174253614299816,0.0799171074965893,1.09736024326309
"5585","female","pituitary","lo vs. hi PRL   ","lo","AGAP3",-0.174404582715573,0.0934727574588663,1.02931494537591
"5586","female","pituitary","lo vs. hi PRL   ","lo","C21H1ORF174",-0.174441660048799,0.0469276204417188,1.32857146699423
"5587","female","pituitary","lo vs. hi PRL   ","lo","MLST8",-0.17444830284257,0.0548955656993945,1.26046273515031
"5588","female","pituitary","lo vs. hi PRL   ","lo","LOC768374",-0.174564217695391,0.0262627451175155,1.58065988117571
"5589","female","pituitary","lo vs. hi PRL   ","lo","FAM69B",-0.174634230627316,0.0991311351171329,1.00378992083383
"5590","female","pituitary","lo vs. hi PRL   ","lo","ACCS",-0.174767547850851,0.0118980306281221,1.92452491744103
"5591","female","pituitary","lo vs. hi PRL   ","lo","PCBP2",-0.175037340235098,0.00853361885371951,2.06886675840933
"5592","female","pituitary","lo vs. hi PRL   ","lo","KLHL11",-0.175202325843655,0.00126231605407379,2.89883189441407
"5593","female","pituitary","lo vs. hi PRL   ","lo","PCBD1",-0.175930987437158,0.0918920645757187,1.03672199089656
"5594","female","pituitary","lo vs. hi PRL   ","lo","SMAD2",-0.175936850200837,0.00541340166658387,2.26652974769018
"5595","female","pituitary","lo vs. hi PRL   ","lo","ADAM17",-0.176113691206416,0.0205353901710449,1.68749704116572
"5596","female","pituitary","lo vs. hi PRL   ","lo","AKIRIN2",-0.176145990769815,0.0106395963457417,1.97307484837014
